ISO3,COUNTRY,ADM_NAME,year,month,ndvi,data_status
ETH,Ethiopia,Ilubabor,2018,8,0.7718959042557283,original
ETH,Ethiopia,Jimma,2018,8,0.6855769874340558,original
ETH,Ethiopia,Keffa,2018,8,0.677465449514961,original
ETH,Ethiopia,Kelem Wellega,2018,8,0.776112777538672,original
ETH,Ethiopia,Mehakelegnaw,2018,8,0.5071065023836622,original
ETH,Ethiopia,Mirab Arsi,2018,8,0.6144235731630373,original
ETH,Ethiopia,Mirab Gojjam,2018,8,0.7072742357436809,original
ETH,Ethiopia,Mirab Hararghe,2018,8,0.520395178234345,original
ETH,Ethiopia,Mirab Shewa,2018,8,0.6429697010721145,original
ETH,Ethiopia,Mirab Welega,2018,8,0.7689342448532758,original
ETH,Ethiopia,Misraq Gojjam,2018,8,0.6723152074865054,original
ETH,Ethiopia,Misraq Harerge,2018,8,0.4633444851782896,original
ETH,Ethiopia,Misraq Shewa,2018,8,0.5592501781861955,original
ETH,Ethiopia,Misraq Wellega,2018,8,0.7309885793063408,original
ETH,Ethiopia,Misraqawi,2018,8,0.4478002752931445,original
ETH,Ethiopia,North Shewa,2018,8,0.6290389824882643,original
ETH,Ethiopia,Semen Gondar,2018,8,0.7105160951752949,original
ETH,Ethiopia,Semen Wello,2018,8,0.6111926240290951,original
ETH,Ethiopia,Sidama,2018,8,0.6055222391649094,original
ETH,Ethiopia,Silti,2018,8,0.5843665214974056,original
ETH,Ethiopia,Wag Himra,2018,8,0.5469648574929831,original
ETH,Ethiopia,Agew Awi,2018,9,0.7541147716293665,original
ETH,Ethiopia,Alaba,2018,9,0.5328534454015005,original
ETH,Ethiopia,Arsi,2018,9,0.5983409940215682,original
ETH,Ethiopia,Bale,2018,9,0.457632415703598,original
ETH,Ethiopia,Bench Maji,2018,9,0.6336132251798016,original
ETH,Ethiopia,Borena,2018,9,0.3786737248473777,original
ETH,Ethiopia,Debub Gondar,2018,9,0.5709096970254318,original
ETH,Ethiopia,Debub Mirab Shewa,2018,9,0.645407540346031,original
ETH,Ethiopia,Debub Omo,2018,9,0.4300176139655037,original
ETH,Ethiopia,Debub Wollo,2018,9,0.568865392901143,original
ETH,Ethiopia,Debubawi,2018,9,0.4891050241898997,original
ETH,Ethiopia,Fafan,2018,9,0.3042193298791019,original
ETH,Ethiopia,Gamo Gofa,2018,9,0.5821470411321062,original
ETH,Ethiopia,Guji,2018,9,0.5750154294032027,original
ETH,Ethiopia,Gurage,2018,9,0.6873929301447701,original
ETH,Ethiopia,Hadiya,2018,9,0.6730229118158271,original
ETH,Ethiopia,Horo Guduru,2018,9,0.7323995856882143,original
ETH,Ethiopia,Ilubabor,2018,9,0.8065101905194095,original
ETH,Ethiopia,Jimma,2018,9,0.7746237186975832,original
ETH,Ethiopia,Keffa,2018,9,0.7739614866557359,original
ETH,Ethiopia,Kelem Wellega,2018,9,0.7845269703030459,original
ETH,Ethiopia,Mehakelegnaw,2018,9,0.4495547819765801,original
ETH,Ethiopia,Mirab Arsi,2018,9,0.6219695478121966,original
ETH,Ethiopia,Mirab Gojjam,2018,9,0.6905660675094001,original
ETH,Ethiopia,Mirab Hararghe,2018,9,0.4934808360462893,original
ETH,Ethiopia,Mirab Shewa,2018,9,0.7095514965901467,original
ETH,Ethiopia,Mirab Welega,2018,9,0.7822296204551569,original
ETH,Ethiopia,Misraq Gojjam,2018,9,0.6599818667954946,original
ETH,Ethiopia,Misraq Harerge,2018,9,0.481280332235429,original
ETH,Ethiopia,Misraq Shewa,2018,9,0.510927898378589,original
ETH,Ethiopia,Misraq Wellega,2018,9,0.7649102563445928,original
ETH,Ethiopia,Misraqawi,2018,9,0.3850780216476244,original
ETH,Ethiopia,North Shewa,2018,9,0.616324286687436,original
ETH,Ethiopia,Semen Gondar,2018,9,0.667272642030467,original
ETH,Ethiopia,Semen Wello,2018,9,0.5407067482081197,original
ETH,Ethiopia,Sidama,2018,9,0.6788763345723612,original
ETH,Ethiopia,Silti,2018,9,0.5852869741475166,original
ETH,Ethiopia,Wag Himra,2018,9,0.4363949190286061,original
ETH,Ethiopia,Agew Awi,2018,10,0.7234179520097407,original
ETH,Ethiopia,Alaba,2018,10,0.449794151153098,original
ETH,Ethiopia,Arsi,2018,10,0.5270058207171084,original
ETH,Ethiopia,Bale,2018,10,0.5622473472377887,original
ETH,Ethiopia,Bench Maji,2018,10,0.6211685912588646,original
ETH,Ethiopia,Borena,2018,10,0.4196038317338787,original
ETH,Ethiopia,Debub Gondar,2018,10,0.5026270071161583,original
ETH,Ethiopia,Debub Mirab Shewa,2018,10,0.5499288564989823,original
ETH,Ethiopia,Debub Omo,2018,10,0.4674029551959223,original
ETH,Ethiopia,Debub Wollo,2018,10,0.520650116662422,original
ETH,Ethiopia,Debubawi,2018,10,0.4079493694383534,original
ETH,Ethiopia,Fafan,2018,10,0.2857813807056502,original
ETH,Ethiopia,Gamo Gofa,2018,10,0.647144236253385,original
ETH,Ethiopia,Guji,2018,10,0.6419074164959876,original
ETH,Ethiopia,Gurage,2018,10,0.606782326365881,original
ETH,Ethiopia,Hadiya,2018,10,0.6076868199258846,original
ETH,Ethiopia,Horo Guduru,2018,10,0.6857499131228644,original
ETH,Ethiopia,Ilubabor,2018,10,0.7917108112265693,original
ETH,Ethiopia,Jimma,2018,10,0.7515217007055818,original
ETH,Ethiopia,Keffa,2018,10,0.7821396786901681,original
ETH,Ethiopia,Kelem Wellega,2018,10,0.7646824704422899,original
ETH,Ethiopia,Mehakelegnaw,2018,10,0.3503015507894823,original
ETH,Ethiopia,Mirab Arsi,2018,10,0.5976640873883601,original
ETH,Ethiopia,Mirab Gojjam,2018,10,0.660462141362374,original
ETH,Ethiopia,Mirab Hararghe,2018,10,0.4555400288622007,original
ETH,Ethiopia,Mirab Shewa,2018,10,0.6529849568501382,original
ETH,Ethiopia,Mirab Welega,2018,10,0.7725762958427279,original
ETH,Ethiopia,Misraq Gojjam,2018,10,0.6061774338641961,original
ETH,Ethiopia,Misraq Harerge,2018,10,0.4796064991169028,original
ETH,Ethiopia,Misraq Shewa,2018,10,0.3702538566853286,original
ETH,Ethiopia,Misraq Wellega,2018,10,0.7376513098926984,original
ETH,Ethiopia,Misraqawi,2018,10,0.3426246692723992,original
ETH,Ethiopia,North Shewa,2018,10,0.51095769804837,original
ETH,Ethiopia,Semen Gondar,2018,10,0.6089358158756673,original
ETH,Ethiopia,Semen Wello,2018,10,0.494459194451699,original
ETH,Ethiopia,Sidama,2018,10,0.6964918144228752,original
ETH,Ethiopia,Silti,2018,10,0.4737844885100076,original
ETH,Ethiopia,Wag Himra,2018,10,0.3501167891978933,original
ETH,Ethiopia,Agew Awi,2018,11,0.6388769372791404,original
ETH,Ethiopia,Alaba,2018,11,0.4367821617115866,original
