ISO3,COUNTRY,ADM_NAME,year,month,temp_c,pet_mm,soil_0_7cm,soil_7_28cm,data_status,lat_wgs84,lon_wgs84
ETH,Ethiopia,Debub Wollo,2012,8,16.12170879871794,149.39200848446612,0.4327228422610706,0.4381322577830463,original,1211322.3946568086,521174.620529377
ETH,Ethiopia,Debubawi,2012,8,18.54309010363852,180.3647801070001,0.3719823980693319,0.3798377958561728,original,1431751.9084497697,553121.0303109066
ETH,Ethiopia,Fafan,2012,8,21.810368756309664,306.1557700845755,0.1620918016016975,0.1950677414432868,original,1032469.6618888458,952209.2310375178
ETH,Ethiopia,Gamo Gofa,2012,8,19.46419983111408,204.55736562169616,0.384078909986354,0.3815093603755898,original,691442.4764312886,300949.4333249477
ETH,Ethiopia,Guji,2012,8,19.39040124283976,295.01295260627296,0.2477711826732437,0.2853135662930547,original,617143.6581352132,515541.0155111069
ETH,Ethiopia,Gurage,2012,8,15.375550202225847,118.73865758168624,0.4754310498859698,0.4831381998543363,original,900983.5306617755,398032.32849572034
ETH,Ethiopia,Hadiya,2012,8,16.28682851083114,126.3156362796751,0.4736370272674377,0.4780263574868406,original,830355.5261159564,362049.58761804504
ETH,Ethiopia,Horo Guduru,2012,8,17.175006753318282,133.13397807594902,0.4058788646035844,0.4114256662011446,original,1073842.1136536016,303139.1779347765
ETH,Ethiopia,Ilubabor,2012,8,17.12528333911537,178.17923254605236,0.4775570546310863,0.4856645051514524,original,923454.0637086349,147288.1625894781
ETH,Ethiopia,Jimma,2012,8,16.309408902466163,187.68605277896563,0.4777512962722147,0.486677362473186,original,875746.526436117,259839.3932920487
ETH,Ethiopia,Keffa,2012,8,16.961248733429677,211.0573025863916,0.4631438788759781,0.4688077411544769,original,799856.0187669549,177107.59706387814
ETH,Ethiopia,Kelem Wellega,2012,8,19.373718270430167,144.15513234487696,0.475437576241415,0.4836522551974732,original,975242.8784768393,35649.15365851755
ETH,Ethiopia,Mehakelegnaw,2012,8,18.7248462745694,145.9630158387634,0.3931718251271724,0.3938149767928575,original,1540791.2187320353,491809.79678931914
ETH,Ethiopia,Mirab Arsi,2012,8,13.891322122275165,140.73233533846636,0.4412943464974578,0.4491195986893578,original,779934.148437699,497832.64267631114
ETH,Ethiopia,Mirab Gojjam,2012,8,16.849425408404315,120.94151716179596,0.3879773819651921,0.4014509496493036,original,1244606.9300988333,305658.1265369256
ETH,Ethiopia,Mirab Hararghe,2012,8,21.530565522920377,215.89187507349612,0.3310040483913863,0.3300716882469355,original,959821.8674397503,695425.1512868485
ETH,Ethiopia,Mirab Shewa,2012,8,15.84676603661708,131.20019656758296,0.4568675373273622,0.4639245062215668,original,1012787.6426533792,374720.2339558294
ETH,Ethiopia,Mirab Welega,2012,8,18.207397446634875,140.50664172160748,0.4754016798213956,0.4878231211886732,original,1032697.9544891039,93189.34631555267
ETH,Ethiopia,Misraq Gojjam,2012,8,16.220462401423614,130.40754971310307,0.4483748053599566,0.4543935151220568,original,1162307.4901609693,382504.35478102614
ETH,Ethiopia,Misraq Harerge,2012,8,22.330776690675208,251.1497425325587,0.2138255154181957,0.2671817776334542,original,977116.6510985142,830176.1323061767
ETH,Ethiopia,Misraq Shewa,2012,8,19.519512554326177,187.0094628702232,0.3366282061928571,0.3218152211191599,original,941809.9861702574,516513.8849465026
ETH,Ethiopia,Misraq Wellega,2012,8,17.87126363962869,137.69548103707842,0.4751575869778773,0.485093566835327,original,1039747.3867830498,238185.46961815926
ETH,Ethiopia,Misraqawi,2012,8,18.68896585444442,183.163949976328,0.3617108901480154,0.3793578139123855,original,1557122.5327505618,561161.672201031
ETH,Ethiopia,North Shewa,2012,8,16.2666336665974,145.23140568111742,0.4544646093604403,0.4605200513814287,original,1077319.1297421285,519061.2007128659
ETH,Ethiopia,Semen Gondar,2012,8,20.061461552339537,144.44425343023084,0.447755321165364,0.455100641219404,original,1403688.5691285583,283385.27954423864
ETH,Ethiopia,Semen Wello,2012,8,17.23099741188505,179.34968979482957,0.411028422905,0.4178786494341739,original,1313128.4243678527,523400.57115138916
ETH,Ethiopia,Sidama,2012,8,15.768704929132245,203.0857558547127,0.4341813460327978,0.4348431804716667,original,736495.4309496412,448981.57327440515
ETH,Ethiopia,Silti,2012,8,15.69677978531737,129.00943603370416,0.4710449847725013,0.4775777043353609,original,860238.8301044789,413973.540730715
ETH,Ethiopia,Wag Himra,2012,8,19.23254656018121,174.65539972946843,0.3588387343048383,0.3580951075651391,original,1405454.9019432787,480362.52930550167
ETH,Ethiopia,Agew Awi,2012,9,18.652386122822207,139.3190754009852,0.4677517660637657,0.4809932229121339,original,1237966.7252032289,237630.7306528011
ETH,Ethiopia,Alaba,2012,9,17.238044284149662,142.45794516716674,0.4413944801440748,0.4488760784362772,original,819281.7111043445,413070.2957213864
ETH,Ethiopia,Arsi,2012,9,16.368281762362553,186.3830193805944,0.4252597873548786,0.4263166826502917,original,877645.5697772538,574724.9062585309
ETH,Ethiopia,Bale,2012,9,22.83692666683939,276.59420049235945,0.2250990085661369,0.2672965157304228,original,747946.3065913733,681361.231348667
ETH,Ethiopia,Bench Maji,2012,9,22.395276632588992,278.4612897981429,0.4057388030964041,0.4224959060565358,original,701473.8482259716,114196.96727000308
ETH,Ethiopia,Borena,2012,9,22.892316242347377,260.1565095868327,0.1761138452093525,0.254697782191926,original,515172.1606803286,418016.61866877874
ETH,Ethiopia,Debub Gondar,2012,9,16.83427067317276,151.2507070112169,0.4150981230554447,0.4321764844999006,original,1298625.058155536,403618.6083826701
ETH,Ethiopia,Debub Mirab Shewa,2012,9,15.160381088170247,136.56146056328623,0.4738306231726004,0.4820429932837162,original,951583.702996164,413642.13798491366
ETH,Ethiopia,Debub Omo,2012,9,26.552844517526164,274.2559737742579,0.2157740944756709,0.2578491733743995,original,594506.2145672034,208934.4131032283
ETH,Ethiopia,Debub Wollo,2012,9,16.575069111976433,164.7027864972736,0.373875627204746,0.3967365454616586,original,1211322.3946568086,521174.620529377
ETH,Ethiopia,Debubawi,2012,9,18.88987197693124,199.7815879723032,0.2675166934400661,0.3096119334260639,original,1431751.9084497697,553121.0303109066
ETH,Ethiopia,Fafan,2012,9,22.12185604635169,266.03568337499496,0.1769042493573496,0.2022029394316796,original,1032469.6618888458,952209.2310375178
ETH,Ethiopia,Gamo Gofa,2012,9,19.67191623136746,211.2531682736848,0.3941061178537606,0.3924492250035763,original,691442.4764312886,300949.4333249477
ETH,Ethiopia,Guji,2012,9,19.61667853292573,277.67424325447666,0.2618292891226529,0.2795796844935925,original,617143.6581352132,515541.0155111069
ETH,Ethiopia,Gurage,2012,9,15.470279641915043,130.69535236987448,0.4723504206985948,0.4821849355110136,original,900983.5306617755,398032.32849572034
ETH,Ethiopia,Hadiya,2012,9,16.45011334624861,131.7418637776267,0.469482166801614,0.4777450181016857,original,830355.5261159564,362049.58761804504
ETH,Ethiopia,Horo Guduru,2012,9,17.541301432498717,148.67351574909085,0.4023157049274828,0.4085962402600445,original,1073842.1136536016,303139.1779347765
ETH,Ethiopia,Ilubabor,2012,9,17.393706100366355,190.3172802979938,0.4759734144970824,0.4860614757954348,original,923454.0637086349,147288.1625894781
ETH,Ethiopia,Jimma,2012,9,16.457279873520662,193.8163001001888,0.476921647226283,0.4868122546743073,original,875746.526436117,259839.3932920487
ETH,Ethiopia,Keffa,2012,9,17.16874349899464,228.0781978402009,0.4596000428704981,0.4651663094933908,original,799856.0187669549,177107.59706387814
ETH,Ethiopia,Kelem Wellega,2012,9,19.7568845000336,157.16938909763172,0.472155424197368,0.4830260723501834,original,975242.8784768393,35649.15365851755
ETH,Ethiopia,Mehakelegnaw,2012,9,19.06490084911973,173.84118841096128,0.3234077656065584,0.3448279353469906,original,1540791.2187320353,491809.79678931914
ETH,Ethiopia,Mirab Arsi,2012,9,14.01860757391173,143.1245783238808,0.4428424129875246,0.453854735414809,original,779934.148437699,497832.64267631114
ETH,Ethiopia,Mirab Gojjam,2012,9,17.290652052306978,139.6198420996375,0.3830762733480926,0.3972244972782744,original,1244606.9300988333,305658.1265369256
ETH,Ethiopia,Mirab Hararghe,2012,9,21.61266996329511,204.1149398459778,0.3143760691849959,0.3236114192264258,original,959821.8674397503,695425.1512868485
ETH,Ethiopia,Mirab Shewa,2012,9,15.977823286854388,139.84327095331716,0.4541572382063846,0.4621013858540323,original,1012787.6426533792,374720.2339558294
ETH,Ethiopia,Mirab Welega,2012,9,18.63222026672059,154.99418200129364,0.4732136361245461,0.4884879032373611,original,1032697.9544891039,93189.34631555267
ETH,Ethiopia,Misraq Gojjam,2012,9,16.508819903346293,146.61837930480928,0.4342502844141144,0.4435846601940719,original,1162307.4901609693,382504.35478102614
ETH,Ethiopia,Misraq Harerge,2012,9,22.374910770914,225.35058766473423,0.2403848661150908,0.2764036755754691,original,977116.6510985142,830176.1323061767
ETH,Ethiopia,Misraq Shewa,2012,9,19.80519658910619,181.199797549049,0.3231067523243224,0.3188637966182321,original,941809.9861702574,516513.8849465026
ETH,Ethiopia,Misraq Wellega,2012,9,18.20082144893416,154.22804975616916,0.4731453816489774,0.484705383113302,original,1039747.3867830498,238185.46961815926
ETH,Ethiopia,Misraqawi,2012,9,18.39648245195163,191.1841937678,0.3000825852864201,0.337107118271638,original,1557122.5327505618,561161.672201031
ETH,Ethiopia,North Shewa,2012,9,16.566965791688045,155.90316813784787,0.4307850696931852,0.4415077180923782,original,1077319.1297421285,519061.2007128659
ETH,Ethiopia,Semen Gondar,2012,9,20.608032071250907,159.50822020616042,0.4275821044744143,0.4388329966247238,original,1403688.5691285583,283385.27954423864
ETH,Ethiopia,Semen Wello,2012,9,17.607437866685725,191.3972520957233,0.3459928456442315,0.3809317337810959,original,1313128.4243678527,523400.57115138916
ETH,Ethiopia,Sidama,2012,9,15.814494603597373,197.41073910002743,0.4430950071451164,0.4470581721587428,original,736495.4309496412,448981.57327440515
ETH,Ethiopia,Silti,2012,9,15.90266232153385,139.64610850933357,0.4680572209696851,0.4771533142765592,original,860238.8301044789,413973.540730715
ETH,Ethiopia,Wag Himra,2012,9,19.95336385965087,192.56600232633303,0.2719600418628915,0.3017448708651512,original,1405454.9019432787,480362.52930550167
ETH,Ethiopia,Agew Awi,2012,10,19.36502976710048,176.5198635321067,0.3886410571697719,0.4129433325875833,original,1237966.7252032289,237630.7306528011
ETH,Ethiopia,Alaba,2012,10,18.78457660637469,264.09574336905735,0.2979492275197918,0.3532491209763612,original,819281.7111043445,413070.2957213864
ETH,Ethiopia,Arsi,2012,10,16.190535301894528,234.43294327060323,0.352233118145595,0.3659946695137946,original,877645.5697772538,574724.9062585309
ETH,Ethiopia,Bale,2012,10,20.40714801595545,182.2034541255708,0.3483128812721006,0.335401218894878,original,747946.3065913733,681361.231348667
ETH,Ethiopia,Bench Maji,2012,10,23.10507936843017,321.24736597174234,0.3901823139296326,0.3923937943064502,original,701473.8482259716,114196.96727000308
ETH,Ethiopia,Borena,2012,10,21.82630223261221,205.70238462699515,0.2913654683810332,0.2933435372358762,original,515172.1606803286,418016.61866877874
ETH,Ethiopia,Debub Gondar,2012,10,18.06364070768664,200.9441066139471,0.2515302305500652,0.3226797403805294,original,1298625.058155536,403618.6083826701
ETH,Ethiopia,Debub Mirab Shewa,2012,10,15.941559042448556,232.839181779478,0.3193732991969594,0.374990053959891,original,951583.702996164,413642.13798491366
ETH,Ethiopia,Debub Omo,2012,10,25.804796302319065,256.79163621595865,0.2678651754519064,0.2807423095571532,original,594506.2145672034,208934.4131032283
ETH,Ethiopia,Debub Wollo,2012,10,15.95354822913803,205.24983134448115,0.2378889037735477,0.3159136316571281,original,1211322.3946568086,521174.620529377
ETH,Ethiopia,Debubawi,2012,10,18.099495652512463,229.8273266135658,0.1623474908269589,0.2250253413908957,original,1431751.9084497697,553121.0303109066
ETH,Ethiopia,Fafan,2012,10,20.136178535801875,233.2276249516619,0.177189765232315,0.1993917691375851,original,1032469.6618888458,952209.2310375178
ETH,Ethiopia,Gamo Gofa,2012,10,20.38705791501225,250.54363739851107,0.375035892021079,0.378430936550894,original,691442.4764312886,300949.4333249477
ETH,Ethiopia,Guji,2012,10,18.48946452053772,211.5929344724643,0.3971343261565448,0.3840737546957579,original,617143.6581352132,515541.0155111069
ETH,Ethiopia,Gurage,2012,10,16.501588871133233,239.6822483471828,0.3313524350493764,0.373746688730812,original,900983.5306617755,398032.32849572034
ETH,Ethiopia,Hadiya,2012,10,18.03661038794154,228.7338515565576,0.3386730806398496,0.3739203805492806,original,830355.5261159564,362049.58761804504
ETH,Ethiopia,Horo Guduru,2012,10,19.11499083150968,217.4484200510199,0.2819078796589561,0.3134042256087706,original,1073842.1136536016,303139.1779347765
ETH,Ethiopia,Ilubabor,2012,10,18.54890341912601,301.7037110171884,0.4278175858123902,0.4350614779367912,original,923454.0637086349,147288.1625894781
ETH,Ethiopia,Jimma,2012,10,18.08549063668737,353.70534140315164,0.3939377603580449,0.4115130960506972,original,875746.526436117,259839.3932920487
ETH,Ethiopia,Keffa,2012,10,18.32860149383025,325.8009584888625,0.4380049425099593,0.4383742055940199,original,799856.0187669549,177107.59706387814
