ISO3,COUNTRY,ADM_NAME,year,month,spei_03,data_status,lat_wgs84,lon_wgs84
ETH,Ethiopia,Guji,2005,5,0.662340270982513,original,617143.6581352132,515541.0155111069
ETH,Ethiopia,Gurage,2005,5,0.9803197922320996,original,900983.5306617755,398032.32849572034
ETH,Ethiopia,Hadiya,2005,5,1.1506908189237504,original,830355.5261159564,362049.58761804504
ETH,Ethiopia,Horo Guduru,2005,5,0.4568952512741089,original,1073842.1136536016,303139.1779347765
ETH,Ethiopia,Ilubabor,2005,5,0.3825654139940527,original,923454.0637086349,147288.1625894781
ETH,Ethiopia,Jimma,2005,5,1.1499154909132083,original,875746.526436117,259839.3932920487
ETH,Ethiopia,Keffa,2005,5,1.1842816779711842,original,799856.0187669549,177107.59706387814
ETH,Ethiopia,Kelem Wellega,2005,5,-0.2167708267085254,original,975242.8784768393,35649.15365851755
ETH,Ethiopia,Mehakelegnaw,2005,5,-0.055499404343928,original,1540791.2187320353,491809.79678931914
ETH,Ethiopia,Mirab Arsi,2005,5,1.2291889950395636,original,779934.148437699,497832.64267631114
ETH,Ethiopia,Mirab Gojjam,2005,5,0.3468473574592614,original,1244606.9300988333,305658.1265369256
ETH,Ethiopia,Mirab Hararghe,2005,5,0.5505199027272563,original,959821.8674397503,695425.1512868485
ETH,Ethiopia,Mirab Shewa,2005,5,0.6021285508898696,original,1012787.6426533792,374720.2339558294
ETH,Ethiopia,Mirab Welega,2005,5,0.1252842250284296,original,1032697.9544891039,93189.34631555267
ETH,Ethiopia,Misraq Gojjam,2005,5,0.5645996342629803,original,1162307.4901609693,382504.35478102614
ETH,Ethiopia,Misraq Harerge,2005,5,0.166078397690677,original,977116.6510985142,830176.1323061767
ETH,Ethiopia,Misraq Shewa,2005,5,0.5621883499865507,original,941809.9861702574,516513.8849465026
ETH,Ethiopia,Misraq Wellega,2005,5,0.5828026261136515,original,1039747.3867830498,238185.46961815926
ETH,Ethiopia,Misraqawi,2005,5,-0.01502812160948,original,1557122.5327505618,561161.672201031
ETH,Ethiopia,North Shewa,2005,5,0.3984127327236598,original,1077319.1297421285,519061.2007128659
