ISO3,COUNTRY,ADM_NAME,year,month,lst_c,data_status
ETH,Ethiopia,Gurage,2024,10,22.4862865643868,original
ETH,Ethiopia,Hadiya,2024,10,23.116830912012627,original
ETH,Ethiopia,Horo Guduru,2024,10,22.9150660838338,original
ETH,Ethiopia,Ilubabor,2024,10,22.893728037452693,original
ETH,Ethiopia,Jimma,2024,10,22.33475399573529,original
ETH,Ethiopia,Keffa,2024,10,22.725274950281676,original
ETH,Ethiopia,Kelem Wellega,2024,10,24.51648676759752,original
ETH,Ethiopia,Mehakelegnaw,2024,10,30.731520585152563,original
ETH,Ethiopia,Mirab Arsi,2024,10,20.84598195663237,original
ETH,Ethiopia,Mirab Gojjam,2024,10,23.8085925223126,original
ETH,Ethiopia,Mirab Hararghe,2024,10,27.083343296035952,original
ETH,Ethiopia,Mirab Shewa,2024,10,23.122592164879823,original
ETH,Ethiopia,Mirab Welega,2024,10,23.954560785005047,original
ETH,Ethiopia,Misraq Gojjam,2024,10,24.26062441693876,original
ETH,Ethiopia,Misraq Harerge,2024,10,27.62341534202116,original
ETH,Ethiopia,Misraq Shewa,2024,10,27.82260415177082,original
ETH,Ethiopia,Misraq Wellega,2024,10,23.60717796159244,original
ETH,Ethiopia,Misraqawi,2024,10,27.275779370865955,original
ETH,Ethiopia,North Shewa,2024,10,24.639877166187997,original
ETH,Ethiopia,Semen Gondar,2024,10,28.183040205973217,original
ETH,Ethiopia,Semen Wello,2024,10,27.12341971117113,original
ETH,Ethiopia,Sidama,2024,10,22.39142905273923,original
ETH,Ethiopia,Silti,2024,10,23.666606900173,original
ETH,Ethiopia,Wag Himra,2024,10,33.11691840929759,original
ETH,Ethiopia,Agew Awi,2024,11,25.197819615213263,original
ETH,Ethiopia,Alaba,2024,11,26.59062146892658,original
ETH,Ethiopia,Arsi,2024,11,24.26825541974525,original
ETH,Ethiopia,Bale,2024,11,27.55451762476395,original
ETH,Ethiopia,Bench Maji,2024,11,26.89678971128218,original
ETH,Ethiopia,Borena,2024,11,28.41751467704393,original
ETH,Ethiopia,Debub Gondar,2024,11,29.229630375726188,original
ETH,Ethiopia,Debub Mirab Shewa,2024,11,25.366632863235463,original
ETH,Ethiopia,Debub Omo,2024,11,30.10850484605873,original
ETH,Ethiopia,Debub Wollo,2024,11,27.019788768746903,original
ETH,Ethiopia,Debubawi,2024,11,29.01980574601964,original
ETH,Ethiopia,Fafan,2024,11,32.30878720289499,original
ETH,Ethiopia,Gamo Gofa,2024,11,24.044223459885536,original
ETH,Ethiopia,Guji,2024,11,25.48247731790997,original
ETH,Ethiopia,Gurage,2024,11,24.095141591202683,original
ETH,Ethiopia,Hadiya,2024,11,24.18203511188364,original
ETH,Ethiopia,Horo Guduru,2024,11,22.92893000117749,original
ETH,Ethiopia,Ilubabor,2024,11,22.197205382025945,original
ETH,Ethiopia,Jimma,2024,11,21.98803248756123,original
ETH,Ethiopia,Keffa,2024,11,21.74256326759885,original
ETH,Ethiopia,Kelem Wellega,2024,11,23.904673789209863,original
ETH,Ethiopia,Mehakelegnaw,2024,11,30.97603027195173,original
ETH,Ethiopia,Mirab Arsi,2024,11,22.75172656746793,original
ETH,Ethiopia,Mirab Gojjam,2024,11,24.240297909797324,original
ETH,Ethiopia,Mirab Hararghe,2024,11,27.994282776607545,original
ETH,Ethiopia,Mirab Shewa,2024,11,24.263964221247736,original
ETH,Ethiopia,Mirab Welega,2024,11,23.55542687584465,original
ETH,Ethiopia,Misraq Gojjam,2024,11,25.38118694609182,original
ETH,Ethiopia,Misraq Harerge,2024,11,28.74647871815684,original
ETH,Ethiopia,Misraq Shewa,2024,11,28.90805901139236,original
ETH,Ethiopia,Misraq Wellega,2024,11,23.569636012872746,original
ETH,Ethiopia,Misraqawi,2024,11,26.68233275706555,original
ETH,Ethiopia,North Shewa,2024,11,26.51571934361361,original
ETH,Ethiopia,Semen Gondar,2024,11,29.467831642064382,original
ETH,Ethiopia,Semen Wello,2024,11,28.693370831439157,original
ETH,Ethiopia,Sidama,2024,11,23.04134644987774,original
ETH,Ethiopia,Silti,2024,11,25.42351155176677,original
